tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed
0,0,0.0,208,178,15087.193,1,0.0
1,0,0.0,429,631,9708.319,1,0.0
2,0,0.0,371,550,11566.791,1,0.0
3,0,0.0,346,632,4458.89,1,0.0
4,0,0.0,259,242,2151.9548,0,0.0
5,0,0.0,340,231,4906.5557,1,0.0
6,0,0.0,359,162,4556.802,1,0.0
0,1,0.03336666666666667,208,178,15087.47,1,0.019991457403932534
1,1,0.03336666666666667,429,631,9708.008,1,0.03752022516948326
2,1,0.03336666666666667,371,550,11565.161,1,0.019034850089411397
3,1,0.03336666666666667,346,632,4458.1133,1,0.02785926561346151
4,1,0.03336666666666667,259,242,2151.6836,0,0.008651534083255395
5,1,0.03336666666666667,340,231,4906.4595,1,0.008367679534759231
6,1,0.03336666666666667,359,162,4555.6167,1,0.0040554280137312096
0,2,0.06673333333333334,208,178,15087.294,1,0.03403704886962728
1,2,0.06673333333333334,429,631,9708.288,1,0.04061491822809668
2,2,0.06673333333333334,371,550,11565.406,1,0.05182450648885149
3,2,0.06673333333333334,346,632,4458.201,1,0.09043346586634843
4,2,0.06673333333333334,259,242,2151.6357,0,0.023877433175251928
5,2,0.06673333333333334,340,231,4906.5854,1,0.034724739764922644
6,2,0.06673333333333334,359,162,4555.4053,1,0.06168254457322752
0,3,0.10010000000000001,208,178,15087.141,1,0.02964942130742101
1,3,0.10010000000000001,429,631,9708.595,1,0.03838106882151653
2,3,0.10010000000000001,371,550,11565.551,1,0.03886270688938372
3,3,0.10010000000000001,346,632,4458.2017,1,0.06897169802388373
4,3,0.10010000000000001,259,242,2151.6238,0,0.024868799973316848
5,3,0.10010000000000001,340,231,4906.6777,1,0.0274838007246975
6,3,0.10010000000000001,359,162,4555.318,1,0.05174406336857537
0,4,0.13346666666666668,208,178,15087.349,1,0.03448758747514725
1,4,0.13346666666666668,429,631,9708.795,1,0.028934439280010892
2,4,0.13346666666666668,371,550,11565.625,1,0.025277572671991107
3,4,0.13346666666666668,346,632,4458.1724,1,0.04336279123182497
4,4,0.13346666666666668,259,242,2151.864,0,0.12040826373689764
5,4,0.13346666666666668,340,231,4906.7275,1,0.015133410330655808
6,4,0.13346666666666668,359,162,4555.2324,1,0.037254903001121595
0,5,0.16683333333333333,208,178,15087.516,1,0.03349328182195419
1,5,0.16683333333333333,429,631,9708.914,1,0.023131898961649886
2,5,0.16683333333333333,371,550,11565.659,1,0.015117616867589355
3,5,0.16683333333333333,346,632,4458.139,1,0.025453891016025153
4,5,0.16683333333333333,259,242,2152.0476,0,0.11852969199920953
5,5,0.16683333333333333,340,231,4906.757,1,0.008529169600649597
6,5,0.16683333333333333,359,162,4555.1763,1,0.024679580713000613
0,6,0.20020000000000002,209,180,15028.076,1,15.246003174372252
1,6,0.20020000000000002,426,634,9762.656,1,39.28662111499044
2,6,0.20020000000000002,368,553,11550.583,1,43.9439145610985
3,6,0.20020000000000002,344,635,4497.7534,1,41.15736817482533
4,6,0.20020000000000002,259,244,2137.8215,0,12.852707609508116
5,6,0.20020000000000002,335,231,4893.598,1,50.06729114479957
6,6,0.20020000000000002,355,163,4544.5864,1,40.726131633774926
0,7,0.23356666666666667,209,180,14988.26,1,17.34725471346259
1,7,0.23356666666666667,425,635,9802.565,1,45.0632652609258
2,7,0.23356666666666667,367,554,11539.4,1,50.26319643651431
3,7,0.23356666666666667,343,636,4524.3223,1,46.985273935530856
4,7,0.23356666666666667,259,244,2127.6104,0,14.717258126688481
5,7,0.23356666666666667,333,231,4883.247,1,57.20029954098252
6,7,0.23356666666666667,353,163,4536.7007,1,46.69419034643791
0,8,0.26693333333333336,209,180,14961.399,1,14.540606761587261
1,8,0.26693333333333336,424,636,9830.223,1,37.81483399304928
2,8,0.26693333333333336,366,555,11532.4,1,42.02744522741955
3,8,0.26693333333333336,342,637,4542.8594,1,39.389025899711264
4,8,0.26693333333333336,259,244,2121.3132,0,12.215484573052851
5,8,0.26693333333333336,332,231,4875.906,1,47.95402104897591
6,8,0.26693333333333336,352,163,4530.146,1,39.14086982208862
0,9,0.3003,209,181,14942.887,1,10.356976768026348
1,9,0.3003,424,636,9848.614,1,27.050625281590072
2,9,0.3003,366,555,11528.929,1,30.101827105961316
3,9,0.3003,342,637,4554.7734,1,28.20944570792623
4,9,0.3003,259,245,2117.245,0,8.688692079717887
5,9,0.3003,332,231,4871.4194,1,34.35434038262123
